Sample	avg_quality	dinucleotide_repeats	mononucleotide_repeats
1np_f8g4	33.1835732545	0.0	0.0
1np_f6c4	37.5062706187	0.0	0.0
1np_f13b5	37.4971896958	0.0	0.0
1np_f13e1	32.4864370918	0.0	0.0
1np_f11b6	31.3179255954	0.0	0.0
1np_f10b4	32.6706254988	0.0	0.0
1np_f5b4	36.0770559146	0.0	0.0
1np_f13c6	37.3648183509	0.0	0.0
1np_f14e2	37.3628355878	0.0	0.0
1np_f9b6	32.4053534282	0.0	0.0
water-control_f11h6	33.2600305452	0.0	0.0
1np_f16g3	35.5434691696	0.0	0.0
water-control_f12h3	32.1083051507	0.0	0.0
1np_f15c8	36.4996442438	0.0	0.0
1np_f17b3	36.5452099012	0.0	0.0
1np_f10c5	36.9013212969	0.0	0.0
1np_f16f5	37.1883812747	0.0	0.0
1np_f11f1	33.2431224773	0.0	0.0
1np_f6b2	36.7294736846	0.0	0.0
1np_f17c5	37.1618505485	0.0	0.0
1np_f17f5	37.35876865	0.0	0.0
1np_f16b7	37.2857628267	0.0	0.0
1np_f12g3	33.0256353973	0.0	0.0
1np_f7c3	37.2551945644	0.0	0.0
1np_f13d4	37.5620925389	0.0	0.0
1np_f16d6	37.3361589927	0.0	0.0
1np_f6a3	36.1857745422	0.0	0.0
1np_f10f6	36.7723741007	0.0	0.0
1np_f10b6	36.6964827702	0.0	0.0
1np_f11b5	33.057620236	0.0	0.0
1np_f13c5	37.4388287153	0.0	0.0
1np_f12g5	32.7388082344	0.0	0.0
1np_f7d1	37.6791829209	0.0	0.0
1np_f15g6	36.8326589961	0.0	0.0
1np_f11b3	32.753347513	0.0	0.0
1np_f13c3	29.7976579345	0.0	0.0
1np_f12e1	33.0924125265	0.0	0.0
1np_f18g3	36.2581423217	0.0	0.0
1np_f11d1	33.2606592668	0.0	0.0
1np_f10b1	32.1689806398	0.0	0.0
1np_f9g5	32.0235832786	0.0	0.0
1np_f7e6	37.5888366189	0.0	0.0
1np_f14e4	37.4948498022	0.0	0.0
1np_f16e4	36.739078614	0.0	0.0
1np_f9c6	29.2854908186	0.0	0.0
1np_f15a6	36.6623065082	0.0	0.0
1np_f15b2	35.549295036	0.0	0.0
1np_f17f6	37.4109300473	0.0	0.0
1np_f9d5	31.9571768019	0.0	0.0
1np_f12f6	33.0291233377	0.0	0.0
1np_f12b5	32.8437200913	0.0	0.0
1np_f13a4	37.4792390324	0.0	0.0
1np_f6f2	36.5736572032	0.0	0.0
1np_f11d5	31.2358245828	0.0	0.0
1np_f17g5	37.010023119	0.0	0.0
1np_f9c4	32.0841525824	0.0	0.0
1np_f9a3	32.5009363537	0.0	0.0
1np_f14c7	37.331525855	0.0	0.0
1np_f18b1	36.7413412108	0.0	0.0
1np_f16c2	37.1713765994	0.0	0.0
1np_f14g5	37.2263748719	0.0	0.0
1np_f9f6	32.2988788706	0.0	0.0
1np_f17d1	37.4455578231	0.0	0.0
1np_f14d7	37.4121024548	0.0	0.0
1np_f16a7	36.7581739268	0.0	0.0
1np_f16d3	36.3749904457	0.0	0.0
1np_f12a3	32.4458130604	0.0	0.0
1np_f12c3	32.7593507395	0.0	0.0
1np_f12b2	32.7293000272	0.0	0.0
1np_f17c7	36.4991194235	0.0	0.0
1np_f10a5	37.4913142626	0.0	0.0
1np_f11e6	33.1995966147	0.0	0.0
1np_f13g3	29.430558446	0.0	0.0
1np_f12b4	32.3088958589	0.0	0.0
1np_f8f1	32.6248326476	0.0	0.0
1np_f5c4	30.9277892324	0.0	0.0
1np_f18d1	36.6989628031	0.0	0.0
1np_f11g4	33.1161192575	0.0	0.0
1np_f11e2	31.0792193971	0.0	0.0
1np_f5g1	35.3453393703	0.0	0.0
1np_f5c1	36.5067093793	0.0	0.0
1np_f16g6	37.4073865839	0.0	0.0
1np_f15c4	36.7931659676	0.0	0.0
1np_f13d3	26.465821106	0.0	0.0
1np_f15h3	28.4220228154	0.0	0.0
1np_f7f2	37.2732016061	0.0	0.0
1np_f7e3	36.3318267577	0.0	0.0
1np_f5d3	25.7304031146	0.0	0.0
1np_f9b1	30.9116614792	0.0	0.0
1np_f10g3	32.6694993044	0.0	0.0
1np_f14f5	37.5103490226	0.0	0.0
1np_f14a6	37.4663979436	0.0	0.0
1np_f15e6	36.335400333	0.0	0.0
1np_f6b4	37.8106718491	0.0	0.0
1np_f5e3	28.5298682895	0.0	0.0
1np_f10e2	32.1107476625	0.0	0.0
1np_f6g3	36.6691459361	0.0	0.0
1np_f7g3	37.465319404	0.0	0.0
1np_f10b3	32.9913632157	0.0	0.0
1np_f15b6	36.1611563839	0.0	0.0
1np_f18a2	36.221394921	0.0	0.0
1np_f11g1	33.1066221987	0.0	0.0
1np_f15f4	36.8149426275	0.0	0.0
1np_f16b2	37.2033230544	0.0	0.0
1np_f18b3	36.7776197488	0.0	0.0
1np_f15d7	36.6993132021	0.0	0.0
1np_f15a8	36.3543794891	0.0	0.0
1np_f12b3	33.204645906	0.0	0.0
1np_f10b2	32.2604086755	0.0	0.0
1np_f15h7	36.7818283198	0.0	0.0
1np_f18c3	35.9282154599	0.0	0.0
1np_f11g2	31.2022421999	0.0	0.0
1np_f8b3	30.9553472639	0.0	0.0
1np_f5d1	36.8321483804	0.0	0.0
1np_f8a2	32.1834820558	0.0	0.0
1np_f18c2	36.7915149701	0.0	0.0
1np_f8f6	31.788430544	0.0	0.0
1np_f15g7	36.503825441	0.0	0.0
1np_f13g1	35.6360992531	0.0	0.0
1np_f7b2	37.620185998	0.0	0.0
1np_f12c5	32.5637565643	0.0	0.0
1np_f9b2	32.2549318521	0.0	0.0
1np_f8g2	32.5575620154	0.0	0.0
1np_f8d6	30.7261166673	0.0	0.0
1np_f8a1	32.6553479028	0.0	0.0
1np_f7g4	33.9843898975	0.0	0.0
1np_f8c3	32.7345797179	0.0	0.0
1np_f18e2	36.9091240071	0.0	0.0
1np_f6f4	37.6992090452	0.0	0.0
1np_f10e3	32.8111173347	0.0	0.0
1np_f10c4	37.5616284593	0.0	0.0
1np_f8b5	33.1602844753	0.0	0.0
1np_f7c5	37.1303619384	0.0	0.0
1np_f15b7	36.8169771027	0.0	0.0
1np_f13e2	37.4076235706	0.0	0.0
1np_f17e3	36.8750569816	0.0	0.0
1np_f9e2	32.3203219941	0.0	0.0
1np_f9d6	32.0275037739	0.0	0.0
1np_f16g4	37.4079514394	0.0	0.0
