Sample	Ecoli_screen_result	Human_screen_result	Mouse_screen_result	Rat_screen_result	Unmapped_screen_result	Yeast_screen_result
expt11_G1G11	1.23875237058	8.19210749304	88.1309768793	19.7786789331	6.51	0.353064600734
expt07_F4	15.8771011023	4.46905082548	74.2730310739	17.455234675	8.99	0.364107935558
expt09_B2-2	3.92219451372	6.19451371571	64.4748129676	15.4064837905	28.39	0.389027431421
expt10_H4	12.3990784333	74.7801262146	3.59511168987	4.42351998397	12.56	0.134228187919
expt06_F43F3	15.9674845402	2.70496708558	39.5022940355	9.61200877718	42.98	0.192499501297
expt08_C3-1	46.9163870302	4.72668427218	29.553442011	7.1500903441	20.68	0.160832357088
expt04_F40A4	51.4437652204	3.23045574276	2.45117041897	1.23055514139	43.02	0.187863426271
expt08_B2-1	65.4231968695	3.80887114395	4.64811393838	1.49971197585	26.68	0.0635639512941
expt01_F38D7	41.267594158	30.5827714745	11.7409814026	4.28065100931	18.42	0.101847513902
expt03_F41E2	48.641266562	27.1985061878	1.41236765261	1.90997397747	24.0	0.038735821696
expt05_F42E4	8.91120675913	4.40777937191	83.0055396142	19.1017057229	7.21	0.2610393751
expt01_F38B8	44.320160613	26.2481306209	3.16309179932	2.22379284207	27.66	0.0860426525721
expt11_G1E3	0.645453174483	83.8998642739	10.8038003318	6.46659629015	8.76	0.144774543809
expt06_F43D2	14.1175416949	4.13963300561	75.0806034311	17.2570950921	9.61	0.181108943996
expt11_G1G1	2.66872715385	10.9086946616	81.1990450434	18.761330203	9.06	0.31402617215
expt10_D2	17.1195789176	68.8211509181	4.22695693384	4.14427313886	12.83	0.129067387293
expt11_G1C7	1.72353253945	8.57352100242	77.6231703769	17.60852336	15.47	0.256824406344
expt06_F43C2	15.6468056868	4.44911419896	73.8794264916	17.7602606125	9.05	0.278509521607
expt03_F41A2	1.67092178854	58.3014613115	24.5591726851	8.36553649305	19.4	0.191728837805
expt03_F41B1	4.16326448322	42.038890737	38.9975907501	10.4494914366	18.36	0.230844447133
expt11_G1B4	6.04579418658	21.6901380236	64.0657865743	15.5972675735	11.98	0.254412147679
expt09_G2-2	46.9838018056	23.4065415399	1.65597164061	2.33683808835	29.01	0.264111911146
