Sample	Genome_coverage	Positive_chromosomes	Proportion_with_neighbours
expt11_G1B8	0.000454798861536	14	0.0
expt03_F41B4	0.154484903612	18	0.753561253561
expt01_F38E9	0.0279481235879	5	0.393175853018
expt02_F37H1	0.22035738388	16	0.79533954727
expt10_B3	0.00325694668584	1	0.0630630630631
expt08_A6-1	0.164358440187	14	0.8553066143
expt04_F40F1	0.0600627915848	10	0.803615046409
expt10_F6	0.146738652035	12	0.870325934813
expt04_F40G4	0.0859863266923	11	0.752090087016
expt05_F42C3	0.245151257299	16	0.900718132855
expt02_F37A4	0.0558082215897	7	0.432439537329
expt09_G1-2	0.208092485549	14	0.890792442188
expt01_F38D4	0.0756433203251	10	0.799844840962
expt08_B5-1	0.180423109651	14	0.730118718491
expt10_G6	0.274903905402	17	0.901803821112
expt11_G1E4	0.0680731199202	10	0.784267241379
expt11_G1F8	0.000528153516622	12	0.0
expt11_G1B1	0.000542824447639	13	0.0
expt11_G1C4	0.025424723453	3	0.372186959031
expt10_D3	0.00457733047739	20	0.0448717948718
expt10_A6	0.269211584167	16	0.91553133515
expt05_F42A3	0.241014054752	18	0.894509374239
expt10_A4	0.00814236671459	19	0.0738738738739
expt08_E4-1	0.111953874593	13	0.829380159874
expt02_F37F1	0.00648455150964	1	0.0294117647059
expt11_G1D1	0.171488512661	12	0.864316879117
expt06_F43B2	0.244799154954	15	0.904470813856
expt08_A4-1	0.000762888412899	1	0.0769230769231
expt11_G1E11	0.175126903553	15	0.832788807908
expt07_E1	0.0182066253924	4	0.156325543916
expt10_F1	0.271690971509	17	0.903666504671
expt02_F37E1	5.86837240691e-05	3	0.0
expt10_D1	0.248041430709	17	0.839829656355
expt03_F41A3	0.0230773744902	2	0.293706293706
expt11_G1A6	0.000733546550864	17	0.0
expt07_H3	0.203412458555	15	0.758456545258
expt11_G1E6	0.131759631466	13	0.756151876183
expt10_D5	0.452084739298	20	0.811650170372
expt02_F37B1	0.11680995276	12	0.747299673449
expt02_F37C4	0.156744226989	16	0.829558217896
expt01_F38C4	0.259792846454	18	0.881296589112
expt11_G1B12	0.000528153516622	14	0.0
expt11_G1C3	0.162260497051	14	0.847016274864
expt08_D3-1	0.0718728910537	9	0.548887528067
expt04_F40B2	0.000146709310173	8	0.0
expt11_G1A12	0.000689533757812	12	0.0
expt01_F38A8	0.0259235351075	2	0.222410865874
expt10_C2	0.209852997271	14	0.910444630872
expt06_F43F1	0.279848009155	16	0.891900393185
expt01_F38F2	0.225374842287	17	0.907433927874
expt03_F41E1	0.139799301664	16	0.809318921188
expt11_G1F7	0.135544731669	14	0.834614135729
expt01_F38D6	0.127534403333	15	0.628206603014
expt02_F37A1	0.106980428978	14	0.615606143719
expt01_F38D1	0.0858102755201	14	0.822191827663
expt10_G5	0.169434582319	16	0.910381851243
expt09_C2-2	0.255523605528	16	0.882184073032
expt11_G1F3	0.106217540565	11	0.881215469613
expt05_F42D1	0.209412869341	16	0.846714305731
expt11_G1D7	0.147853642792	13	0.872792220679
expt11_G1H4	0.000616179102726	14	0.0
expt11_G1B3	0.151095918547	14	0.861734148946
expt11_G1D3	0.186174114609	14	0.818991331757
expt02_F37H5	0.150861183651	15	0.75279587669
expt10_C6	0.275534755436	15	0.898141738992
expt01_F38E2	0.153531293096	13	0.898423315815
expt10_H3	0.00544291540741	20	0.0269541778976
expt04_F40D5	0.158284674745	13	0.819260357772
expt06_F43B3	0.167057891494	14	0.791780100114
expt05_F42G3	0.363883102022	18	0.930693867677
expt02_F37D2	0.299624424166	15	0.846888312197
expt08_A2-1	0.050922801561	14	0.360126764621
expt01_F38C2	0.191030192776	14	0.899393287766
expt01_F38H8	0.0387899416097	6	0.35552193646
expt08_B3-1	0.0708019130894	10	0.434314131786
expt11_G1H3	0.174158622106	14	0.887204110858
expt01_F38A3	0.371438631496	18	0.919898886168
expt07_B4	0.00369707461636	7	0.123015873016
expt09_D2-2	0.214180921921	15	0.845879854785
expt06_F43A3	0.00350635251313	1	0.100418410042
expt01_F38F4	0.0759807517385	9	0.818111604557
expt06_F43E2	0.256961356768	16	0.891121895518
expt11_G1F1	0.162319180775	15	0.876898047722
expt01_F38F7	0.00108564889528	15	0.027027027027
expt11_G1C7	0.283369032599	20	0.580274398136
expt11_G1F5	0.108770282562	8	0.847585648773
